id,inventory_number,collection_name,inventory_name,inventory_id,inventory_uuid,inventory_extra,image_uuid,image_iiif
352c8dc0-b186-522d-9313-e01f802e0958,NL-HaNA_4.JSF_09,4.JSF,,9,,,,https://service.archief.nl/iipsrv?IIIF=/d9/1d/31/2c/10/b4/4b/54/b8/70/5c/39/de/73/01/50/755ad767-4b28-4f0c-8fb4-e3eb895ad580.jp2/full/full/0/default.jpg
22402c28-d0e9-5d7f-bed8-554832a98433,NL-HaNA_4.JSF_16_01_links,4.JSF,,1,,links,,
9b0852ed-92b9-524c-870f-5f306f26a1dd,NL-HaNA_4.JSF_16_02_links_midden,4.JSF,,links,,midden,,
2266b55c-5e17-5e9f-bf24-9065fb8424bc,NL-HaNA_4.JSF_16_03_rechts_midden,4.JSF,,rechts,,midden,,
158fc17d-bdeb-5b96-9fb5-5cea68f7180f,NL-HaNA_4.JSF_16_04_rechts,4.JSF,,4,,rechts,,
6feeccd2-d020-5a11-93f2-58f8e166d9e1,NL-HaNA_4.JSF_18,4.JSF,,18,,,,https://service.archief.nl/iipsrv?IIIF=/56/cd/c0/b6/8c/60/4b/b1/8a/35/17/6d/70/8a/a5/9f/8912ce0c-e1d8-46b3-aca4-ba2e6ab2f6f2.jp2/full/full/0/default.jpg
07f1c0cf-c7e3-5423-8304-cb773f100a98,NL-HaNA_4.JSF_19.1,4.JSF,,19.1,,,,https://service.archief.nl/iipsrv?IIIF=/28/f9/f4/00/0e/0e/4e/4a/85/20/58/02/88/91/78/ad/111ea33e-5a0f-4eb5-b512-f445b26f8dcc.jp2/full/full/0/default.jpg
c2040f79-b086-5448-b514-bd233e01b0b5,NL-HaNA_4.JSF_21.2,4.JSF,,21.2,,,,https://service.archief.nl/iipsrv?IIIF=/85/9f/cc/72/5f/ab/46/65/95/eb/5f/19/51/6c/f2/01/f38ba177-40bd-4a6c-964c-c48a5f587bce.jp2/full/full/0/default.jpg
8eaeb328-50db-57aa-92ce-f1f54f62a57f,NL-HaNA_4.JSF_22.1,4.JSF,,22.1,,,,https://service.archief.nl/iipsrv?IIIF=/a8/ac/b7/ba/2f/e5/45/0c/bf/06/1f/65/bf/1f/ae/80/c5a0a7be-159d-4ef5-8350-d50dcac3e214.jp2/full/full/0/default.jpg
e963f027-8c76-56ee-9b34-9d7f463223cf,NL-HaNA_4.JSF_23.1,4.JSF,,23.1,,,,https://service.archief.nl/iipsrv?IIIF=/8c/c5/c0/83/44/58/43/83/be/70/5d/62/6d/9b/a2/b5/8b30eb6b-e1e1-4673-9393-8c96c4e86b03.jp2/full/full/0/default.jpg
c5eab38b-e2cf-5fd5-b2b8-9daca895836c,NL-HaNA_4.JSF_23.2,4.JSF,,23.2,,,,https://service.archief.nl/iipsrv?IIIF=/1f/d7/cf/19/1c/ef/48/a2/b5/60/d8/88/a4/f9/30/76/8d602840-8e8a-4c6a-87b2-e9de7ae68d79.jp2/full/full/0/default.jpg
842339a2-5be7-59cc-a31f-9b5792a5b027,NL-HaNA_4.JSF_25,4.JSF,,25,,,,https://service.archief.nl/iipsrv?IIIF=/42/7e/1b/5a/bc/09/45/48/b8/c6/85/75/76/2a/99/02/68611386-d2fc-4a50-ad73-a7f9f31dccc0.jp2/full/full/0/default.jpg
ae5f7ecb-6b92-54d4-ae40-94597228190b,NL-HaNA_4.JSF_26,4.JSF,,26,,,,https://service.archief.nl/iipsrv?IIIF=/14/c4/3e/b2/d1/60/4c/94/a4/f6/95/7e/ca/63/bb/91/356d3a14-0737-4cc6-af7a-0724e232f883.jp2/full/full/0/default.jpg
09fb78ed-ec7f-5eb3-aa75-6b5f46c3b3b2,NL-HaNA_4.JSF_28,4.JSF,,28,,,,https://service.archief.nl/iipsrv?IIIF=/f2/66/74/ad/72/ba/4e/fe/bc/59/f3/42/da/75/ca/55/00fc18ff-3737-4b7c-a59a-8dc4a7fbdb35.jp2/full/full/0/default.jpg
831202cd-e1be-53b8-a65e-58ccf8ad610a,NL-HaNA_4.JSF_30,4.JSF,,30,,,,https://service.archief.nl/iipsrv?IIIF=/7a/8e/c8/70/5f/c2/4f/eb/91/65/d3/25/c6/7a/46/b3/d88edf7e-3363-4d89-b584-7991c7457184.jp2/full/full/0/default.jpg
7ae818b4-74fa-54ed-a602-f456d4181c64,NL-HaNA_4.JSF_33.1,4.JSF,,33.1,,,,
56c4879c-6ab0-5f19-80fa-962bf9878b69,NL-HaNA_4.JSF_35.2,4.JSF,,35.2,,,,
4843d502-dd41-5921-bdc4-305f1b7f6596,NL-HaNA_4.JSF_36,4.JSF,,36,,,,https://service.archief.nl/iipsrv?IIIF=/b8/6f/65/dd/87/43/4e/75/b4/b1/39/83/7b/75/73/1c/621ff310-4c53-47e8-9022-8909e1390c4a.jp2/full/full/0/default.jpg
5952484c-294d-5e07-a722-39c74590a5e4,NL-HaNA_4.JSF_37,4.JSF,,37,,,,https://service.archief.nl/iipsrv?IIIF=/38/8b/6a/17/fd/20/42/4b/8b/90/9e/bf/79/46/2a/12/c8e3551d-2260-43b4-bbfb-b92096491fcf.jp2/full/full/0/default.jpg
5e3708ff-02c9-5a5a-a6a1-d24618e837e3,NL-HaNA_4.JSF_38.2,4.JSF,,38.2,,,,https://service.archief.nl/iipsrv?IIIF=/7f/e7/dd/2f/0a/27/45/65/8b/4f/c0/8d/ff/1d/1b/c0/ec216b7b-6339-410f-ba28-8fb55e1af43e.jp2/full/full/0/default.jpg
c05da86f-a3b7-5105-9524-535c02d2477d,NL-HaNA_4.JSF_39,4.JSF,,39,,,,https://service.archief.nl/iipsrv?IIIF=/57/ba/44/fd/8d/ea/4a/c2/b3/5d/e6/eb/ce/e0/c8/a6/d8427d94-b927-4b4d-a866-892e9f35922d.jp2/full/full/0/default.jpg
665dedd2-f899-5842-89a9-05173111d9af,NL-HaNA_4.JSF_40,4.JSF,,40,,,,https://service.archief.nl/iipsrv?IIIF=/b0/3b/55/eb/b9/13/4e/97/9e/30/4b/b2/f9/65/40/1d/495fec2f-6107-402c-b7d9-f77940e0cfb7.jp2/full/full/0/default.jpg
3fb93417-bff1-5205-a58d-0098fc685903,NL-HaNA_4.JSF_41,4.JSF,,41,,,,https://service.archief.nl/iipsrv?IIIF=/de/a1/e1/01/e8/d3/46/1c/96/0d/89/59/e7/db/a1/69/4c1edacc-d620-44a4-9337-309ecb6d445a.jp2/full/full/0/default.jpg
